[2026-08-20T04:04:03.689Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:04:04.504Z] GET http://localhost:3000/_next/static/chunks/node_modules_1bsoqns._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.504Z] GET http://localhost:3000/_next/static/chunks/node_modules_0fhejhl._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.505Z] GET http://localhost:3000/_next/static/chunks/node_modules_zod_v3_0oikqvy._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.505Z] GET http://localhost:3000/_next/static/chunks/node_modules_libphonenumber-js_0w0eg4a._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.505Z] GET http://localhost:3000/_next/static/chunks/14cr_%40privy-io_js-sdk-core_dist_esm_index_mjs_0i8oafh._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.505Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40privy-io_react-auth_dist_esm_toViemAccount-eEYORH6K_mjs_1yt8rtp._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.505Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40privy-io_react-auth_dist_esm_index-Bx9TKuLl_mjs_1kt72_j._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.505Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40privy-io_react-auth_dist_esm_1-kvaf_._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.505Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40coinbase_wallet-sdk_dist_0orrgkk._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40walletconnect_utils_dist_index_1n9f3-2.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40walletconnect_core_dist_index_0eyi_8r.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40walletconnect_sign-client_dist_index_0-0a-gu.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40headlessui_react_dist_20ogie-._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/node_modules_x402_dist_esm_06_gs99._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40solana-program_token_dist_src_index_mjs_0dbgnw9._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40solana-program_token-2022_dist_src_index_mjs_0_1kp43._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40walletconnect_1sy2uko._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/node_modules_styled-components_0x6n8kb._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40solana_19cw5g3._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/node_modules_054byg7._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/src_1b8u8kp._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/node_modules_0gzvqnu._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.506Z] GET http://localhost:3000/_next/static/chunks/src_0r__0gi._.js → pending (?ms, ?B)
[2026-08-20T04:04:04.615Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (38ms, 3904B)
[2026-08-20T04:04:08.686Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:04:13.684Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:04:18.693Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:04:21.601Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (402ms, ?B)
[2026-08-20T04:04:21.611Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (375ms, ?B)
[2026-08-20T04:04:21.611Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (361ms, ?B)
[2026-08-20T04:04:21.612Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (274ms, ?B)
[2026-08-20T04:04:21.612Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (248ms, ?B)
[2026-08-20T04:04:21.612Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (212ms, 9756B)
[2026-08-20T04:04:21.613Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (176ms, 9757B)
[2026-08-20T04:04:21.614Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (138ms, 9756B)
[2026-08-20T04:04:21.809Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (23ms, 28369B)
[2026-08-20T04:04:21.975Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 200 (16ms, 6093B)
[2026-08-20T04:04:23.691Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:04:25.295Z] POST https://twinfinance.notion.site/api/v3/getAssetsJsonV2 → 200 (287ms, 860B)
[2026-08-20T04:04:25.962Z] GET https://app.notion.com/exp/ping → 200 (33ms, 319B)
[2026-08-20T04:04:25.996Z] POST https://http-inputs-notion.splunkcloud.com/services/collector/raw → 200 (758ms, 270B)
[2026-08-20T04:04:28.684Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:04:33.685Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:04:38.685Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:04:43.686Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:04:48.695Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:04:51.774Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 200 (22ms, 6302B)
[2026-08-20T04:04:53.687Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:04:55.962Z] GET https://app.notion.com/exp/ping → 200 (26ms, 318B)
[2026-08-20T04:04:55.988Z] POST https://http-inputs-notion.splunkcloud.com/services/collector/raw → 200 (333ms, 270B)
[2026-08-20T04:04:58.686Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:05:03.687Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:05:08.697Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:05:13.687Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:05:18.688Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:05:23.686Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:05:25.302Z] POST https://twinfinance.notion.site/api/v3/getAssetsJsonV2 → 200 (458ms, 861B)
[2026-08-20T04:05:25.962Z] GET https://app.notion.com/exp/ping → 200 (38ms, 317B)
[2026-08-20T04:05:26.001Z] POST https://http-inputs-notion.splunkcloud.com/services/collector/raw → 200 (332ms, 270B)
[2026-08-20T04:05:28.686Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:05:33.687Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:05:38.687Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:05:43.685Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:05:44.283Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → pending (?ms, ?B)
[2026-08-20T04:05:44.283Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → pending (?ms, ?B)
[2026-08-20T04:05:44.284Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → pending (?ms, ?B)
[2026-08-20T04:05:44.284Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → pending (?ms, ?B)
[2026-08-20T04:05:44.284Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → pending (?ms, ?B)
[2026-08-20T04:05:44.284Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (321ms, ?B)
[2026-08-20T04:05:44.285Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (310ms, ?B)
[2026-08-20T04:05:44.285Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (290ms, ?B)
[2026-08-20T04:05:44.286Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (262ms, ?B)
[2026-08-20T04:05:44.286Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (247ms, ?B)
[2026-08-20T04:05:44.534Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 200 (2ms, 6305B)
[2026-08-20T04:05:48.688Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:05:53.686Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:05:55.963Z] GET https://app.notion.com/exp/ping → 200 (89ms, 318B)
[2026-08-20T04:05:56.053Z] POST https://http-inputs-notion.splunkcloud.com/services/collector/raw → 200 (378ms, 270B)
[2026-08-20T04:05:58.687Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:06:03.688Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:06:08.688Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:06:12.379Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (182ms, ?B)
[2026-08-20T04:06:12.379Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (173ms, ?B)
[2026-08-20T04:06:12.379Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (163ms, ?B)
[2026-08-20T04:06:12.379Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (154ms, ?B)
[2026-08-20T04:06:12.380Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (143ms, ?B)
[2026-08-20T04:06:12.380Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (133ms, ?B)
[2026-08-20T04:06:12.380Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (123ms, ?B)
[2026-08-20T04:06:12.381Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (111ms, 9756B)
[2026-08-20T04:06:12.381Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (101ms, 9756B)
[2026-08-20T04:06:12.382Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (91ms, 9756B)
[2026-08-20T04:06:12.382Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (77ms, 9756B)
[2026-08-20T04:06:12.382Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (50ms, 9757B)
[2026-08-20T04:06:12.434Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 200 (7ms, 6406B)
[2026-08-20T04:06:13.686Z] POST https://twinfinance.notion.site/api/v3/ping → 200 (201ms, 831B)
[2026-08-20T04:06:18.691Z] POST https://twinfinance.notion.site/api/v3/ping → 200 (203ms, 834B)
[2026-08-20T04:06:23.688Z] POST https://twinfinance.notion.site/api/v3/ping → 200 (210ms, 829B)
[2026-08-20T04:06:25.299Z] POST https://twinfinance.notion.site/api/v3/getAssetsJsonV2 → 200 (279ms, 861B)
[2026-08-20T04:06:25.964Z] GET https://app.notion.com/exp/ping → 200 (39ms, 318B)
[2026-08-20T04:06:26.004Z] POST https://http-inputs-notion.splunkcloud.com/services/collector/raw → 200 (332ms, 270B)
[2026-08-20T04:06:28.688Z] POST https://twinfinance.notion.site/api/v3/ping → 200 (208ms, 832B)
[2026-08-20T04:06:33.688Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:06:38.688Z] POST https://twinfinance.notion.site/api/v3/ping → pending (?ms, ?B)
[2026-08-20T04:07:08.748Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (232ms, ?B)
[2026-08-20T04:07:08.748Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (221ms, ?B)
[2026-08-20T04:07:08.748Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (209ms, ?B)
[2026-08-20T04:07:08.749Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (198ms, ?B)
[2026-08-20T04:07:08.749Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (186ms, ?B)
[2026-08-20T04:07:08.750Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (175ms, ?B)
[2026-08-20T04:07:08.750Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (164ms, ?B)
[2026-08-20T04:07:08.751Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (152ms, ?B)
[2026-08-20T04:07:08.751Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (142ms, 9756B)
[2026-08-20T04:07:08.752Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (132ms, 9756B)
[2026-08-20T04:07:08.752Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (123ms, 9756B)
[2026-08-20T04:07:08.752Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (113ms, 9756B)
[2026-08-20T04:07:08.753Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (101ms, 9756B)
[2026-08-20T04:07:08.763Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (69ms, 9756B)
[2026-08-20T04:07:08.820Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 200 (27ms, 6413B)
[2026-08-20T04:07:38.081Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (24ms, 9757B)
[2026-08-20T04:12:32.078Z] GET http://localhost:3000/?_rsc=bFe_VC0g8VplWXKP → 200 (28ms, 9756B)
